2026-03-02 00:00:13 | INFO | app.main | startup.auto_ingest triggered=False reason=no_markdown_files files_total=0 chunks_inserted=0
2026-03-02 00:00:43 | INFO | app.main | startup.auto_ingest triggered=False reason=no_markdown_files files_total=0 chunks_inserted=0
2026-03-02 00:01:46 | WARNING | langchain_milvus.vectorstores.milvus | No index params provided. Could not determine relevance function. Use L2 distance as default.
2026-03-02 00:01:46 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 00:01:46 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 00:01:50 | INFO | app.services.rag_service_fast | rag.ask_stream mode=kb retrieve_ms=2509.78 first_token_ms=298.38 total_ms=6841.83 docs=6 selected_docs=4 top_k=6 answer_top_k=4
2026-03-02 00:20:05 | WARNING | langchain_milvus.vectorstores.milvus | No index params provided. Could not determine relevance function. Use L2 distance as default.
2026-03-02 00:20:06 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 00:20:06 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 00:20:06 | INFO | app.services.rag_service_fast | rag.ask_stream mode=kb retrieve_ms=660.68 first_token_ms=433.42 total_ms=1199.98 docs=6 selected_docs=4 top_k=6 answer_top_k=4
2026-03-02 00:21:05 | WARNING | langchain_milvus.vectorstores.milvus | No index params provided. Could not determine relevance function. Use L2 distance as default.
2026-03-02 00:21:05 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 00:21:06 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 00:21:14 | INFO | app.services.rag_service_fast | rag.ask_stream mode=kb retrieve_ms=434.92 first_token_ms=307.45 total_ms=9238.45 docs=6 selected_docs=4 top_k=6 answer_top_k=4
2026-03-02 00:26:10 | WARNING | langchain_milvus.vectorstores.milvus | No index params provided. Could not determine relevance function. Use L2 distance as default.
